epoch  train_loss  val_loss  val_token_acc          lr
------------------------------------------------------
    1      2.0156    1.8037         0.3065    1.00e-04
    2      1.8003    1.6999         0.3400    3.25e-04
    3      1.7165    1.6451         0.3568    5.50e-04
    4      1.6815    1.6328         0.3597    7.75e-04
    5      1.6614    1.6171         0.3696    1.00e-03
    6      1.6372    1.5840         0.3825    1.00e-03
    7      1.5898    1.5155         0.4033    1.00e-03
    8      1.5173    1.3559         0.4725    1.00e-03
    9      1.3993    1.2955         0.4943    1.00e-03
   10      1.3515    1.2696         0.5035    1.00e-03
   11      1.3270    1.2612         0.5057    1.00e-03
   12      1.3112    1.2557         0.5076    1.00e-03
   13      1.3010    1.2534         0.5083    1.00e-03
   14      1.2936    1.2493         0.5084    1.00e-03
   15      1.2883    1.2454         0.5095    1.00e-03
   16      1.2833    1.2445         0.5103    1.00e-03
   17      1.2784    1.2425         0.5110    1.00e-03
   18      1.2747    1.2423         0.5104    1.00e-03
   19      1.2718    1.2410         0.5120    1.00e-03
   20      1.2708    1.2411         0.5113    1.00e-03
   21      1.2685    1.2387         0.5123    1.00e-03
   22      1.2661    1.2408         0.5108    1.00e-03
   23      1.2645    1.2381         0.5135    1.00e-03
   24      1.2631    1.2369         0.5122    1.00e-03
   25      1.2605    1.2381         0.5138    1.00e-03
   26      1.2604    1.2372         0.5118    1.00e-03
   27      1.2586    1.2347         0.5138    1.00e-03
   28      1.2568    1.2343         0.5154    1.00e-03
   29      1.2556    1.2362         0.5139    1.00e-03
   30      1.2542    1.2356         0.5137    1.00e-03
   31      1.2529    1.2336         0.5143    1.00e-03
   32      1.2518    1.2325         0.5152    1.00e-03
   33      1.2517    1.2335         0.5122    1.00e-03
   34      1.2506    1.2320         0.5156    1.00e-03
   35      1.2496    1.2345         0.5143    1.00e-03
   36      1.2491    1.2318         0.5144    1.00e-03
   37      1.2472    1.2301         0.5166    1.00e-03
   38      1.2375    1.2106         0.5237    1.00e-03
   39      1.2328    1.2094         0.5245    1.00e-03
   40      1.2306    1.2094         0.5239    1.00e-03
   41      1.2293    1.2090         0.5214    9.94e-04
   42      1.2279    1.2087         0.5249    9.76e-04
   43      1.2268    1.2074         0.5251    9.46e-04
   44      1.2257    1.2097         0.5241    9.05e-04
   45      1.2245    1.2093         0.5252    8.55e-04
   46      1.2227    1.2069         0.5240    7.96e-04
   47      1.2207    1.2073         0.5252    7.30e-04
   48      1.2195    1.2071         0.5251    6.58e-04
   49      1.2181    1.2086         0.5238    5.82e-04
   50      1.2166    1.2070         0.5244    5.05e-04
   51      1.2156    1.2064         0.5246    4.28e-04
   52      1.2142    1.2070         0.5252    3.52e-04
   53      1.2134    1.2063         0.5253    2.80e-04
   54      1.2120    1.2063         0.5249    2.14e-04
   55      1.2114    1.2061         0.5254    1.55e-04
   56      1.2107    1.2060         0.5260    1.05e-04
   57      1.2104    1.2062         0.5254    6.40e-05
   58      1.2099    1.2061         0.5247    3.42e-05
   59      1.2092    1.2062         0.5251    1.61e-05
   60      1.2095    1.2062         0.5253    1.00e-05
