equation,operand_1,operation,operand_2,answer
278+961=1239,278,+,961,1239
518+171=689,518,+,171,689
995-992=3,995,-,992,3
925+237=1162,925,+,237,1162
870-649=221,870,-,649,221
156-70=86,156,-,70,86
333+235=568,333,+,235,568
870-398=472,870,-,398,472
556-249=307,556,-,249,307
290+616=906,290,+,616,906
124-116=8,124,-,116,8
930-419=511,930,-,419,511
96+550=646,96,+,550,646
256-133=123,256,-,133,123
821+707=1528,821,+,707,1528
269+648=917,269,+,648,917
554-214=340,554,-,214,340
177-78=99,177,-,78,99
462-462=0,462,-,462,0
16+49=65,16,+,49,65
491+264=755,491,+,264,755
772-429=343,772,-,429,343
708-681=27,708,-,681,27
262-189=73,262,-,189,73
870-547=323,870,-,547,323
327-327=0,327,-,327,0
875+321=1196,875,+,321,1196
780+394=1174,780,+,394,1174
840-750=90,840,-,750,90
86+74=160,86,+,74,160
677-453=224,677,-,453,224
798-89=709,798,-,89,709
781-776=5,781,-,776,5
686-155=531,686,-,155,531
911+395=1306,911,+,395,1306
130+32=162,130,+,32,162
282+217=499,282,+,217,499
623+182=805,623,+,182,805
74+186=260,74,+,186,260
723-85=638,723,-,85,638
553-494=59,553,-,494,59
377-56=321,377,-,56,321
299-70=229,299,-,70,229
34+53=87,34,+,53,87
277-186=91,277,-,186,91
839+413=1252,839,+,413,1252
55+703=758,55,+,703,758
874-331=543,874,-,331,543
343-304=39,343,-,304,39
110-16=94,110,-,16,94
820+599=1419,820,+,599,1419
257+492=749,257,+,492,749
559-76=483,559,-,76,483
442+967=1409,442,+,967,1409
774+582=1356,774,+,582,1356
884-851=33,884,-,851,33
70-69=1,70,-,69,1
889-28=861,889,-,28,861
877+533=1410,877,+,533,1410
976+765=1741,976,+,765,1741
992-432=560,992,-,432,560
938+658=1596,938,+,658,1596
315+923=1238,315,+,923,1238
584-479=105,584,-,479,105
588+822=1410,588,+,822,1410
39+58=97,39,+,58,97
647-345=302,647,-,345,302
967+728=1695,967,+,728,1695
890+730=1620,890,+,730,1620
315+646=961,315,+,646,961
925-829=96,925,-,829,96
400+269=669,400,+,269,669
662-656=6,662,-,656,6
547-455=92,547,-,455,92
93+923=1016,93,+,923,1016
936+467=1403,936,+,467,1403
741+757=1498,741,+,757,1498
802-38=764,802,-,38,764
395+676=1071,395,+,676,1071
655-508=147,655,-,508,147
235-103=132,235,-,103,132
302+727=1029,302,+,727,1029
754+5=759,754,+,5,759
294+502=796,294,+,502,796
29+584=613,29,+,584,613
556-378=178,556,-,378,178
607+788=1395,607,+,788,1395
844+668=1512,844,+,668,1512
154+37=191,154,+,37,191
423-406=17,423,-,406,17
111+87=198,111,+,87,198
912+733=1645,912,+,733,1645
804-672=132,804,-,672,132
411-77=334,411,-,77,334
796-756=40,796,-,756,40
924-594=330,924,-,594,330
70+543=613,70,+,543,613
553+192=745,553,+,192,745
426-403=23,426,-,403,23
660-319=341,660,-,319,341
193-87=106,193,-,87,106
535-387=148,535,-,387,148
734-7=727,734,-,7,727
809+467=1276,809,+,467,1276
573-517=56,573,-,517,56
584-166=418,584,-,166,418
66+299=365,66,+,299,365
857-45=812,857,-,45,812
267+909=1176,267,+,909,1176
170+718=888,170,+,718,888
179+727=906,179,+,727,906
477-444=33,477,-,444,33
672-253=419,672,-,253,419
970+386=1356,970,+,386,1356
810+112=922,810,+,112,922
658-649=9,658,-,649,9
76+12=88,76,+,12,88
135-119=16,135,-,119,16
398+585=983,398,+,585,983
741-115=626,741,-,115,626
146-145=1,146,-,145,1
689+814=1503,689,+,814,1503
271+817=1088,271,+,817,1088
725-455=270,725,-,455,270
838-483=355,838,-,483,355
894+43=937,894,+,43,937
853+219=1072,853,+,219,1072
225+870=1095,225,+,870,1095
902-893=9,902,-,893,9
51+926=977,51,+,926,977
905+755=1660,905,+,755,1660
516-113=403,516,-,113,403
541-88=453,541,-,88,453
501-72=429,501,-,72,429
844-173=671,844,-,173,671
